pe,post_attn_ln,length,exact_match,attn_var_L0,attn_var_L1
nope,1,1,1.0,0.21429,0.13045
nope,1,2,0.7656,0.16363,0.15637
nope,1,3,0.0547,0.13353,0.16962
nope,1,4,0.0078,0.11555,0.18128
nope,1,5,0.0,0.1028,0.18989
nope,1,6,0.0,0.0937,0.19386
nope,1,7,0.0,0.08746,0.19936
nope,1,8,0.0,0.08156,0.20319
nope,1,9,0.0,0.07752,0.20693
nope,1,10,0.0,0.07407,0.20952
nope,1,11,0.0,0.0711,0.21278
nope,1,12,0.0,0.06876,0.21553
nope,1,13,0.0,0.06735,0.21695
nope,1,14,0.0,0.06603,0.221
nope,1,15,0.0,0.06464,0.22367
