pe,post_attn_ln,length,exact_match,attn_var_L0,attn_var_L1
rope,0,1,1.0,0.48331,0.62406
rope,0,2,0.9922,0.37725,0.51355
rope,0,3,0.9766,0.31653,0.48869
rope,0,4,1.0,0.2692,0.51515
rope,0,5,0.9453,0.25611,0.50315
rope,0,6,0.0,0.25607,0.54049
rope,0,7,0.0,0.25844,0.55771
rope,0,8,0.0,0.25951,0.58723
rope,0,9,0.0,0.25822,0.61087
rope,0,10,0.0,0.25863,0.61258
rope,0,11,0.0,0.25725,0.62582
rope,0,12,0.0,0.2538,0.6352
rope,0,13,0.0,0.25363,0.66756
rope,0,14,0.0,0.25082,0.67406
rope,0,15,0.0,0.25279,0.6754
