task,pe,post_attn_ln,length,exact_match,attn_var_L0,attn_var_L1
recall,nope,1,1,1.0,0.12819,0.08181
recall,nope,1,2,0.9688,0.09281,0.11761
recall,nope,1,3,0.7266,0.07047,0.12968
recall,nope,1,4,0.6484,0.06432,0.13558
recall,nope,1,5,0.5234,0.05835,0.13619
recall,nope,1,6,0.3281,0.05223,0.1432
recall,nope,1,7,0.3984,0.05065,0.14577
recall,nope,1,8,0.3828,0.0472,0.14746
recall,nope,1,9,0.2578,0.04475,0.15075
recall,nope,1,10,0.3047,0.04235,0.14682
recall,nope,1,11,0.3125,0.04192,0.15031
recall,nope,1,12,0.2969,0.03961,0.15385
recall,nope,1,13,0.2656,0.03825,0.15012
recall,nope,1,14,0.2031,0.03562,0.15088
recall,nope,1,15,0.2656,0.03525,0.14883
