baseline,bin_left,bin_right,bin_mid,count,mean_response,variance
null_attractor,0.45,0.495375,0.47268750000000004,13,0.35332728825510407,0.005490062248420033
null_attractor,0.495375,0.54075,0.5180625,5,0.7631343416100387,0.007705277867008439
null_attractor,0.54075,0.586125,0.5634375,7,0.9332870448720659,0.0005753422180597328
null_attractor,0.586125,0.6315,0.6088125,3,0.9786853477520038,9.608915519724202e-06
null_attractor,0.6315,0.676875,0.6541874999999999,2,0.9964007957936483,1.0033546966523363e-07
null_attractor,0.676875,0.72225,0.6995625,3,0.9984974971314046,4.504909508798425e-08
null_attractor,0.72225,0.767625,0.7449375,1,0.9993170822922419,0.0
null_attractor,0.767625,0.813,0.7903125,4,0.9991573058499456,1.1354288685994313e-07
threshold,0.45,0.495375,0.47268750000000004,13,0.0,0.0
threshold,0.495375,0.54075,0.5180625,5,0.0,0.0
threshold,0.54075,0.586125,0.5634375,7,0.7142857142857143,0.20408163265306123
threshold,0.586125,0.6315,0.6088125,3,1.0,0.0
threshold,0.6315,0.676875,0.6541874999999999,2,1.0,0.0
threshold,0.676875,0.72225,0.6995625,3,1.0,0.0
threshold,0.72225,0.767625,0.7449375,1,1.0,0.0
threshold,0.767625,0.813,0.7903125,4,1.0,0.0
