baseline,bin_left,bin_right,bin_mid,count,mean_response,variance
null_attractor,0.0014478990032027166,0.05109378636302427,0.026270842683113495,7,0.03528543424860659,9.06553663286844e-06
null_attractor,0.05109378636302427,0.10073967372284583,0.07591673004293505,6,0.03547758457361561,0.00012446811382838533
null_attractor,0.10073967372284583,0.15038556108266737,0.1255626174027566,7,0.03440029920613087,0.00010092432653929895
null_attractor,0.15038556108266737,0.20003144844248893,0.17520850476257815,8,0.029805118950033852,4.7556439389875846e-05
null_attractor,0.20003144844248893,0.2496773358023105,0.22485439212239972,2,0.026199980541674495,1.629798403344931e-05
null_attractor,0.2496773358023105,0.299323223162132,0.2745002794822212,1,0.03592573017519273,0.0
null_attractor,0.299323223162132,0.34896911052195356,0.3241461668420428,2,0.026455076900646274,1.4206954939657072e-06
null_attractor,0.34896911052195356,0.3986149978817751,0.37379205420186434,5,0.03993878339127947,0.0001853228792521768
threshold,0.0014478990032027166,0.05109378636302427,0.026270842683113495,7,0.0,0.0
threshold,0.05109378636302427,0.10073967372284583,0.07591673004293505,6,0.5,0.25
threshold,0.10073967372284583,0.15038556108266737,0.1255626174027566,7,1.0,0.0
threshold,0.15038556108266737,0.20003144844248893,0.17520850476257815,8,1.0,0.0
threshold,0.20003144844248893,0.2496773358023105,0.22485439212239972,2,1.0,0.0
threshold,0.2496773358023105,0.299323223162132,0.2745002794822212,1,1.0,0.0
threshold,0.299323223162132,0.34896911052195356,0.3241461668420428,2,1.0,0.0
threshold,0.34896911052195356,0.3986149978817751,0.37379205420186434,5,1.0,0.0
