model,layer,n,sep_margin_single_anchor,sep_margin_subspace_primary_axis,sep_residual_subspace_coupling,correlation_single_vs_subspace
Qwen2.5-0.5B-Instruct,2,38,0.002543374186470395,0.0002254316405881085,0.00871503787736097,0.3386349452228317
Qwen2.5-0.5B-Instruct,6,38,0.00045270827554521107,0.0015270898029917657,0.0002500852569937706,0.7975840379915656
Qwen2.5-0.5B-Instruct,10,38,0.0007974328029723394,0.002286526418867618,-0.0017172185526717343,0.8533965003893073
Qwen2.5-0.5B-Instruct,14,38,0.0011840129182452246,0.004005280633767483,-0.0028045014256522782,0.9206693629749122
Qwen2.5-0.5B-Instruct,16,38,0.0017874655979020254,0.006919414159797466,0.0011206758430316321,0.9281409458173759
Qwen2.5-0.5B-Instruct,18,38,0.0045860133000782555,0.016427675882975223,0.00517794370119061,0.9674657239602146
Qwen2.5-0.5B-Instruct,20,38,0.007189815243085226,0.027512132411911305,0.010126454136168053,0.9727864877065082
Qwen2.5-0.5B-Instruct,21,38,0.012603841367222014,0.041299931350208485,-0.01642919172133718,0.9721083365056638
Qwen2.5-0.5B-Instruct,22,38,0.0007328100147701443,-0.014802680040399224,-0.008022849758466066,0.11755754825508831
Qwen2.5-0.5B-Instruct,23,38,0.0009639940801120942,-0.01180326853257914,-0.00919224339581673,0.20578966671793894
