layer,detector,auroc,tpr@fpr5,tpr@fpr10
14,basin_margin,0.7332,0.07,0.255
14,single_anchor_cos,0.7854,0.32,0.41
14,surface_risk,0.6705,0.13,0.13
14,logistic_probe,0.9999,1.0,1.0
16,basin_margin,0.7506,0.085,0.225
16,single_anchor_cos,0.7899,0.26,0.44
16,surface_risk,0.6705,0.13,0.13
16,logistic_probe,0.9999,1.0,1.0
18,basin_margin,0.7181,0.045,0.215
18,single_anchor_cos,0.7843,0.25,0.48
18,surface_risk,0.6705,0.13,0.13
18,logistic_probe,0.9999,1.0,1.0
20,basin_margin,0.7214,0.035,0.24
20,single_anchor_cos,0.7792,0.245,0.38
20,surface_risk,0.6705,0.13,0.13
20,logistic_probe,1.0,1.0,1.0
21,basin_margin,0.7008,0.04,0.21
21,single_anchor_cos,0.7466,0.165,0.35
21,surface_risk,0.6705,0.13,0.13
21,logistic_probe,1.0,1.0,1.0
