step,train_acc,val_acc,attn_specific_heat,attn_entropy,repr_participation_ratio,weight_spectral_entropy
0,0.0259,0.0098,0.117125,1.027972,20.241,4.025779
100,0.9866,0.2812,0.006296,0.693493,19.3562,4.003418
200,0.999,0.2852,0.016287,0.695437,19.595,3.991261
300,1.0,0.2832,0.01379,0.694911,19.9909,3.976078
400,1.0,0.2793,0.012016,0.694583,20.1555,3.961185
500,1.0,0.2793,0.010895,0.694394,20.167,3.947211
600,1.0,0.2754,0.009774,0.694229,20.2478,3.934218
700,1.0,0.2734,0.008878,0.694089,20.3261,3.922236
800,1.0,0.2734,0.008376,0.694005,20.4381,3.911274
900,1.0,0.2734,0.007815,0.693917,20.5148,3.901419
1000,1.0,0.2715,0.007318,0.693863,20.5443,3.892481
1100,1.0,0.2656,0.006732,0.693776,20.5728,3.883889
1200,1.0,0.2676,0.005705,0.693613,20.6408,3.875519
1300,1.0,0.2676,0.004633,0.693481,20.8258,3.866918
1400,1.0,0.2695,0.003305,0.693265,21.1609,3.85076
1500,1.0,0.252,0.004291,0.693499,20.6164,3.828172
1600,1.0,0.2676,0.004462,0.69339,20.3319,3.827732
1700,1.0,0.2656,0.004354,0.693353,19.8395,3.821509
1800,1.0,0.2656,0.005024,0.693463,19.324,3.813387
1900,1.0,0.2656,0.005177,0.693504,18.812,3.80413
2000,1.0,0.2617,0.005307,0.693532,18.4423,3.79497
2100,1.0,0.2598,0.005282,0.693513,18.2614,3.786426
2200,1.0,0.2656,0.005151,0.693481,18.1353,3.778677
2300,1.0,0.2637,0.005122,0.693451,18.1357,3.771596
2400,1.0,0.2637,0.005153,0.693431,18.2507,3.765343
2500,1.0,0.2617,0.005448,0.693464,18.4042,3.759799
2600,1.0,0.2617,0.005658,0.693494,18.6071,3.755142
2700,1.0,0.2637,0.005125,0.693422,18.9724,3.751699
2800,1.0,0.2598,0.003796,0.693252,19.2959,3.749807
2900,1.0,0.252,0.001381,0.69292,8.3909,3.723127
3000,1.0,0.2539,0.010419,0.694413,17.3302,3.721882
3100,1.0,0.2695,0.002335,0.693002,18.8778,3.728756
3200,1.0,0.2695,0.002137,0.69296,19.3112,3.736394
3300,1.0,0.2695,0.00226,0.692963,18.9129,3.741784
3400,1.0,0.2695,0.002471,0.692986,18.4594,3.744901
3500,1.0,0.2695,0.002712,0.693005,18.2266,3.744885
3600,1.0,0.2695,0.003036,0.693036,18.1492,3.741567
3700,1.0,0.2637,0.003361,0.693079,18.0912,3.735516
3800,1.0,0.2617,0.003628,0.693137,18.1253,3.727351
3900,1.0,0.2617,0.003819,0.693176,18.2397,3.717894
4000,1.0,0.2637,0.003719,0.693169,18.4588,3.708444
4100,1.0,0.2637,0.003081,0.693087,18.773,3.700682
4200,1.0,0.2598,0.001559,0.692884,10.9231,3.674973
4300,1.0,0.2637,0.009635,0.694207,18.3764,3.675916
4400,1.0,0.2676,0.002937,0.693078,18.8287,3.682163
4500,1.0,0.2617,0.002123,0.692973,18.863,3.68667
4600,1.0,0.2676,0.001874,0.692975,18.4993,3.689589
4700,1.0,0.2695,0.001754,0.692994,18.1119,3.691721
4800,1.0,0.2676,0.001758,0.693032,17.8092,3.693101
4900,1.0,0.2715,0.001845,0.693076,17.5986,3.693643
5000,1.0,0.2715,0.002038,0.693121,17.504,3.693469
5100,1.0,0.2676,0.00237,0.693176,17.5022,3.692832
5200,1.0,0.2637,0.00275,0.693242,17.5966,3.691617
5300,1.0,0.2637,0.002978,0.693281,17.815,3.69024
5400,1.0,0.2617,0.002952,0.693289,18.1595,3.689437
5500,1.0,0.2637,0.002562,0.693234,18.2414,3.689062
5600,0.9856,0.2227,0.001356,0.692964,9.3831,3.660974
5700,1.0,0.2656,0.005519,0.693635,16.3071,3.665748
