step,train_acc,val_acc,attn_specific_heat,attn_entropy,repr_participation_ratio,weight_spectral_entropy
0,0.019,0.0176,0.105672,1.028082,22.2034,3.814627
100,0.9719,0.4766,0.005469,0.692501,14.2847,3.791394
200,0.9937,0.4883,0.011207,0.693578,14.548,3.77757
300,0.9982,0.4883,0.016353,0.694413,14.4948,3.760026
400,1.0,0.4883,0.019367,0.694898,14.313,3.741069
500,1.0,0.4883,0.018494,0.694757,14.1645,3.724094
600,1.0,0.4941,0.019128,0.694892,14.0049,3.709478
700,1.0,0.4941,0.019633,0.695093,13.817,3.696889
800,1.0,0.498,0.01957,0.695098,13.5534,3.685851
900,1.0,0.5039,0.01926,0.695075,13.3064,3.675761
1000,1.0,0.5039,0.019175,0.695089,12.99,3.666116
1100,1.0,0.5039,0.020246,0.695311,12.6817,3.656719
1200,1.0,0.5039,0.022392,0.69574,12.4897,3.647057
1300,1.0,0.5059,0.02412,0.696053,12.3893,3.635973
1400,1.0,0.5137,0.025474,0.696349,12.4317,3.622455
1500,1.0,0.5234,0.026729,0.696715,12.429,3.60628
1600,1.0,0.5332,0.029082,0.697338,12.3335,3.588281
1700,1.0,0.543,0.031816,0.698041,12.1455,3.569816
1800,1.0,0.5605,0.036042,0.699128,12.0349,3.551537
1900,1.0,0.5879,0.038061,0.699712,11.9524,3.533292
2000,1.0,0.625,0.041424,0.700694,11.8311,3.514286
2100,1.0,0.6836,0.043159,0.70127,11.6918,3.493339
2200,1.0,0.7832,0.042657,0.701068,11.6113,3.470186
2300,1.0,0.8711,0.043588,0.701247,11.4519,3.443775
2400,1.0,0.9414,0.047908,0.70237,11.213,3.413869
2500,1.0,0.9746,0.051349,0.703257,10.9526,3.380995
2600,1.0,0.9883,0.050414,0.703064,10.4584,3.344463
2700,1.0,0.998,0.038968,0.700229,7.3266,3.296863
2800,1.0,0.9805,0.073511,0.710518,6.3392,3.267971
2900,1.0,0.998,0.050982,0.703112,8.557,3.26463
3000,1.0,0.998,0.046179,0.701929,9.2441,3.261323
3100,1.0,0.998,0.051248,0.703245,8.6688,3.257559
3200,1.0,0.9961,0.054728,0.704152,8.0748,3.250252
3300,1.0,0.9961,0.056273,0.704545,7.6476,3.239389
3400,1.0,0.998,0.056399,0.704561,7.344,3.22692
3500,1.0,0.998,0.05613,0.704482,7.1052,3.215305
3600,1.0,1.0,0.056234,0.704517,6.9034,3.206261
3700,1.0,1.0,0.057862,0.704968,6.7279,3.200327
3800,1.0,1.0,0.06152,0.706009,6.5935,3.197152
3900,1.0,1.0,0.067009,0.707641,6.5341,3.1954
4000,1.0,1.0,0.072523,0.709339,6.5541,3.192799
4100,1.0,1.0,0.07448,0.709979,6.6388,3.185962
4200,1.0,1.0,0.072243,0.709314,6.751,3.171576
4300,1.0,1.0,0.065759,0.707424,6.9479,3.147094
4400,1.0,1.0,0.052241,0.70377,7.1926,3.101664
4500,1.0,0.998,0.073207,0.711436,5.4544,3.05125
4600,1.0,1.0,0.080742,0.712564,6.8019,3.045323
4700,1.0,1.0,0.052549,0.703683,7.1061,3.029056
4800,1.0,1.0,0.052314,0.703564,6.9351,3.015661
4900,1.0,1.0,0.051986,0.703466,6.6809,3.004095
5000,1.0,1.0,0.052085,0.703502,6.4014,2.9947
5100,1.0,1.0,0.052085,0.703498,6.1959,2.987378
5200,1.0,1.0,0.052041,0.703462,6.0571,2.982254
5300,1.0,1.0,0.052546,0.703568,5.9719,2.979903
5400,1.0,1.0,0.054152,0.70397,5.9248,2.981204
5500,1.0,1.0,0.057404,0.70484,5.9009,2.98597
5600,1.0,1.0,0.062392,0.706254,5.9059,2.993411
5700,1.0,1.0,0.068116,0.707934,5.9617,3.002481
5800,1.0,1.0,0.071885,0.709133,6.0723,3.011971
5900,1.0,1.0,0.073408,0.709625,6.1961,3.018591
6000,1.0,1.0,0.072675,0.709425,6.3026,3.02149
6100,1.0,1.0,0.069401,0.708478,6.4493,3.018573
6200,1.0,1.0,0.057094,0.705137,6.583,2.998631
6300,1.0,0.9961,0.094406,0.721523,5.2016,2.956388
6400,1.0,1.0,0.093587,0.716792,6.31,2.955351
6500,1.0,1.0,0.052527,0.703408,6.43,2.948527
6600,1.0,1.0,0.051553,0.703115,6.5833,2.936641
6700,1.0,1.0,0.049491,0.70257,6.4909,2.925816
6800,1.0,1.0,0.047822,0.702143,6.2087,2.917068
6900,1.0,1.0,0.047078,0.701961,5.9365,2.911378
7000,1.0,1.0,0.046336,0.701782,5.6726,2.90978
7100,1.0,1.0,0.046026,0.701712,5.4529,2.913199
7200,1.0,1.0,0.046447,0.701822,5.2844,2.921622
7300,1.0,1.0,0.048207,0.702273,5.1757,2.933949
7400,1.0,1.0,0.051707,0.703196,5.1428,2.949109
7500,1.0,1.0,0.056639,0.704532,5.2255,2.96619
7600,1.0,1.0,0.060881,0.705749,5.3868,2.983883
7700,1.0,1.0,0.064317,0.706744,5.6362,3.000018
7800,1.0,1.0,0.065951,0.707268,5.9056,3.011176
7900,1.0,1.0,0.066427,0.70744,6.1515,3.015805
8000,1.0,1.0,0.061151,0.706034,6.6135,3.012812
