transition,irr_fraction,boot_lo,boot_hi,null_mean,null_hi,repr_change,exceeds_null
0->1,1.37859,1.27542,1.6449,0.97462,1.99091,0.6902,False
1->2,0.12563,0.11239,0.20078,0.67927,1.96331,0.5133,False
2->3,1.61392,1.49399,1.77678,0.65675,1.96072,5.5147,False
3->4,0.96128,0.89189,1.04636,0.89463,1.96856,4.1354,False
4->5,0.00037,0.00033,0.00042,0.77909,1.97676,0.7453,False
5->6,0.00924,0.0084,0.0103,0.88952,1.94598,0.9913,False
6->7,0.00033,0.0003,0.00037,1.19634,1.96714,0.7649,False
7->8,0.00043,0.0004,0.00049,0.72599,1.97297,0.7217,False
8->9,0.00036,0.00033,0.00042,1.02337,1.96388,0.7606,False
9->10,0.00034,0.00032,0.00038,1.00865,1.98261,0.6296,False
10->11,0.00036,0.00033,0.0004,0.79406,1.96728,0.6547,False
11->12,0.00025,0.00022,0.00027,0.72706,1.97315,0.5957,False
12->13,0.00034,0.00032,0.00037,1.00453,1.98082,0.6529,False
13->14,0.00013,0.00012,0.00015,0.8708,1.96959,0.6289,False
14->15,0.00033,0.0003,0.00037,0.73762,1.9631,0.8776,False
15->16,0.00063,0.00058,0.00071,1.00982,1.97458,1.1331,False
16->17,0.00068,0.00064,0.00077,0.69969,1.96895,1.4893,False
17->18,0.00046,0.00043,0.00053,0.51605,1.96378,1.3099,False
18->19,0.00068,0.00063,0.0008,0.71038,1.97531,1.3603,False
19->20,0.00366,0.00349,0.00399,0.90519,1.97773,2.6036,False
20->21,0.00736,0.00682,0.00838,0.87276,1.96069,4.3812,False
21->22,1.41392,1.01557,1.6111,0.66928,1.97466,7.6416,False
22->23,0.0569,0.03723,0.07447,0.91749,1.98261,6.321,False
23->24,0.09174,0.07576,0.11078,0.91588,1.98669,68.44,False
