pe,post_attn_ln,length,exact_match,attn_var_L0,attn_var_L1
nope,0,1,1.0,0.32296,0.80794
nope,0,2,0.6641,0.23921,0.68899
nope,0,3,0.0469,0.19519,0.68492
nope,0,4,0.0,0.1669,0.71635
nope,0,5,0.0,0.14973,0.74486
nope,0,6,0.0,0.13744,0.78356
nope,0,7,0.0,0.12982,0.82104
nope,0,8,0.0,0.122,0.85098
nope,0,9,0.0,0.11745,0.86978
nope,0,10,0.0,0.11163,0.89327
nope,0,11,0.0,0.10993,0.91261
nope,0,12,0.0,0.10534,0.93948
nope,0,13,0.0,0.10694,0.94637
nope,0,14,0.0,0.10381,0.9638
nope,0,15,0.0,0.10148,0.98534
