pe,post_attn_ln,length,exact_match,attn_var_L0,attn_var_L1
rope,0,1,1.0,0.41187,0.42153
rope,0,2,0.9922,0.31397,0.35496
rope,0,3,1.0,0.24807,0.34182
rope,0,4,1.0,0.22279,0.33546
rope,0,5,0.9922,0.22141,0.29752
rope,0,6,0.0,0.22475,0.29634
rope,0,7,0.0,0.23089,0.28359
rope,0,8,0.0,0.23906,0.2833
rope,0,9,0.0,0.24789,0.28358
rope,0,10,0.0,0.25156,0.27566
rope,0,11,0.0,0.2568,0.28447
rope,0,12,0.0,0.25592,0.28544
rope,0,13,0.0,0.25129,0.28472
rope,0,14,0.0,0.25276,0.27865
rope,0,15,0.0,0.25287,0.27581
