task,pe,post_attn_ln,length,exact_match,attn_var_L0,attn_var_L1
recall,nope,1,1,1.0,0.12248,0.40296
recall,nope,1,2,0.5,0.10426,0.42298
recall,nope,1,3,0.4531,0.09463,0.4415
recall,nope,1,4,0.375,0.0864,0.45117
recall,nope,1,5,0.3906,0.08035,0.44508
recall,nope,1,6,0.3516,0.07463,0.4377
recall,nope,1,7,0.2578,0.06849,0.43899
recall,nope,1,8,0.3672,0.06417,0.42149
recall,nope,1,9,0.2422,0.06123,0.41275
recall,nope,1,10,0.2188,0.05596,0.41907
recall,nope,1,11,0.1875,0.05615,0.40877
recall,nope,1,12,0.2734,0.0544,0.395
recall,nope,1,13,0.2266,0.05237,0.39231
recall,nope,1,14,0.2422,0.04857,0.37933
recall,nope,1,15,0.2422,0.04806,0.37283
