path,model,layer,heads,length,n_examples,baseline_accuracy,baseline_margin,baseline_source_mass,source_max_accuracy_delta,source_max_margin_delta,source_max_source_mass_delta,source_max_max_invariant_error,source_max_accuracy_delta_ci95_low,source_max_accuracy_delta_ci95_high,source_max_margin_delta_ci95_low,source_max_margin_delta_ci95_high,source_min_accuracy_delta,source_min_margin_delta,source_min_source_mass_delta,source_min_max_invariant_error,source_min_accuracy_delta_ci95_low,source_min_accuracy_delta_ci95_high,source_min_margin_delta_ci95_low,source_min_margin_delta_ci95_high,distractor_control_accuracy_delta,distractor_control_margin_delta,distractor_control_source_mass_delta,distractor_control_max_invariant_error,distractor_control_accuracy_delta_ci95_low,distractor_control_accuracy_delta_ci95_high,distractor_control_margin_delta_ci95_low,distractor_control_margin_delta_ci95_high,source_max_vs_control_accuracy_delta,source_max_vs_control_margin_delta,source_max_vs_control_accuracy_delta_ci95_low,source_max_vs_control_accuracy_delta_ci95_high,source_max_vs_control_margin_delta_ci95_low,source_max_vs_control_margin_delta_ci95_high
results\lengthgen\pretrained_causal_pythia1p4b\pretrained_causal_routing_results.json,EleutherAI/pythia-1.4b,10,4,5,128,0.359375,-1.5897216796875,0.25240397453308105,0.109375,0.8778076171875,0.12102627754211426,2.384185791015625e-07,0.046875,0.171875,0.64501953125,1.117681884765625,-0.25,-2.47967529296875,-0.25188488949788734,2.384185791015625e-07,-0.328125,-0.1796875,-2.8076263427734376,-2.1673400878906253,0.0390625,0.239013671875,0.0,4.76837158203125e-07,-0.015625,0.09375,0.0339324951171875,0.44677734375,0.0703125,0.6387939453125,0.015625,0.1328125,0.4003875732421875,0.8873352050781249
results\lengthgen\pretrained_causal_pythia1p4b\pretrained_causal_routing_results.json,EleutherAI/pythia-1.4b,10,4,20,128,0.0390625,-4.51947021484375,0.04530881717801094,0.0390625,1.195037841796875,0.08489252254366875,4.76837158203125e-07,0.0,0.078125,0.9719535827636718,1.4354263305664063,-0.0390625,-0.6220703125,-0.045026502877590246,4.76837158203125e-07,-0.078125,-0.0078125,-0.8221466064453125,-0.42529144287109377,-0.015625,0.09844017028808594,0.0,4.76837158203125e-07,-0.046875,0.015625,-0.06604485511779784,0.26517138481140134,0.0546875,1.096597671508789,0.015625,0.1015625,0.9051457405090332,1.3088688373565673
results\lengthgen\pretrained_causal_pythia1p4b\pretrained_causal_routing_results.json,EleutherAI/pythia-1.4b,10,4,80,128,0.0,-5.30645751953125,0.005002135410904884,0.0,0.40509033203125,0.04485834203660488,4.76837158203125e-07,0.0,0.0,0.264031982421875,0.5377822875976562,0.0,0.0343017578125,-0.0049412911757826805,4.76837158203125e-07,0.0,0.0,-0.096923828125,0.17084197998046868,0.0,0.09918212890625,0.0,9.5367431640625e-07,0.0,0.0,-0.029057312011718746,0.22601470947265623,0.0,0.305908203125,0.0,0.0,0.1846893310546875,0.42425537109375
results\lengthgen\pretrained_causal_pythia70m\pretrained_causal_routing_results.json,EleutherAI/pythia-70m,3,4,5,128,0.21875,-1.7683191299438477,0.4008538348862203,0.1796875,1.2748289108276367,0.17102993598382454,2.384185791015625e-07,0.1171875,0.25,1.0308351278305055,1.5285757303237915,-0.21875,-5.019391059875488,-0.40032166597086416,4.76837158203125e-07,-0.2890625,-0.1484375,-5.415140414237976,-4.618775129318237,-0.0625,-1.0842523574829102,0.0,4.76837158203125e-07,-0.125,0.0,-1.2962633132934571,-0.8772361040115361,0.2421875,2.359081268310547,0.1640625,0.3203125,2.0009137868881224,2.740349817276001
results\lengthgen\pretrained_causal_pythia70m\pretrained_causal_routing_results.json,EleutherAI/pythia-70m,3,4,20,128,0.015625,-5.9861860275268555,0.09901403757567095,0.03125,2.8603744506835938,0.3424882029107721,4.76837158203125e-07,0.0078125,0.0625,2.5611072063446043,3.165026307106018,-0.015625,-1.3319292068481445,-0.09893062621048898,4.76837158203125e-07,-0.0390625,0.0,-1.6420568943023681,-1.0463531970977786,-0.0078125,-1.530257225036621,0.0,4.76837158203125e-07,-0.0234375,0.0,-1.7012917041778564,-1.366540861129761,0.0390625,4.390631675720215,0.0078125,0.078125,4.014015126228332,4.768367505073547
results\lengthgen\pretrained_causal_pythia70m\pretrained_causal_routing_results.json,EleutherAI/pythia-70m,3,4,80,128,0.0078125,-6.194467544555664,0.016787188293690747,0.0,1.5466976165771484,0.31807168154902854,9.5367431640625e-07,-0.0234375,0.0234375,1.3148199319839478,1.7791042566299438,-0.0078125,-0.17904281616210938,-0.016784830209126023,9.5367431640625e-07,-0.0234375,0.0,-0.2805502891540527,-0.09599435329437259,0.0,-1.1445808410644531,0.0,9.5367431640625e-07,0.0,0.0,-1.290943717956543,-1.0029221773147583,0.0,2.6912784576416016,-0.0234375,0.0234375,2.422073483467102,2.9567521095275877
results\lengthgen\pretrained_causal_qwen1p5b\pretrained_causal_routing_results.json,Qwen/Qwen2.5-1.5B,19,4,5,128,0.5390625,-1.344482421875,0.35790210604682215,0.1015625,1.1767578125,0.1822075283525919,2.384185791015625e-07,0.0546875,0.15625,0.731439208984375,1.712408447265625,-0.2578125,-1.4061279296875,-0.35777070567817626,4.76837158203125e-07,-0.3359375,-0.1796875,-1.6632080078125,-1.166253662109375,-0.015625,0.297119140625,0.0,4.76837158203125e-07,-0.0625,0.03125,0.07275390625,0.5363952636718747,0.1171875,0.879638671875,0.0546875,0.1875,0.517816162109375,1.311041259765625
results\lengthgen\pretrained_causal_qwen1p5b\pretrained_causal_routing_results.json,Qwen/Qwen2.5-1.5B,19,4,20,128,0.3984375,-2.0140380859375,0.20150896914515215,0.1875,2.2677001953125,0.24731782071080488,4.76837158203125e-07,0.125,0.2578125,1.77978515625,2.7888214111328127,-0.1171875,-1.19110107421875,-0.2015037900905982,4.76837158203125e-07,-0.1796875,-0.0625,-1.433294677734375,-0.9583694458007813,0.0234375,0.1553955078125,0.0,4.76837158203125e-07,-0.0078125,0.0625,-0.07569580078124999,0.3819641113281249,0.1640625,2.1123046875,0.1015625,0.234375,1.63084716796875,2.633062744140625
results\lengthgen\pretrained_causal_qwen1p5b\pretrained_causal_routing_results.json,Qwen/Qwen2.5-1.5B,19,4,80,128,0.0703125,-5.78662109375,0.054422201175896134,0.109375,2.52685546875,0.3113362178609691,4.76837158203125e-07,0.0546875,0.1640625,2.1467254638671873,2.91444091796875,-0.0234375,-0.2852783203125,-0.05442189067016723,4.76837158203125e-07,-0.0546875,0.0,-0.40504150390625,-0.182373046875,0.0,0.123046875,0.0,4.76837158203125e-07,-0.0234375,0.0234375,-0.0604248046875,0.306884765625,0.109375,2.40380859375,0.0546875,0.1640625,1.99315185546875,2.8095703125
results\lengthgen\pretrained_causal_qwen1p5b\pretrained_causal_routing_results.json,Qwen/Qwen2.5-1.5B,19,4,160,128,0.0078125,-6.994384765625,0.01931647041729434,0.0625,2.20361328125,0.3352851512105133,4.76837158203125e-07,0.0234375,0.109375,1.892572021484375,2.53565673828125,0.0,-0.1484375,-0.019316344217587128,4.76837158203125e-07,0.0,0.0,-0.251226806640625,-0.06689453125,0.0,0.072265625,0.0,4.76837158203125e-07,0.0,0.0,-0.056640625,0.19970703125,0.0625,2.13134765625,0.0234375,0.109375,1.822998046875,2.4524108886718747
