scope,target,n,positive_or_mean_target,simple_r2,simple_plus_thermo_r2,delta_r2,simple_cv_r2,simple_plus_thermo_cv_r2,delta_cv_r2,best_feature,best_abs_spearman,best_spearman
pooled,benign_damage,72,0.75,0.0583205170225819,0.10802872748424808,0.04970821046166618,-0.041253390501116316,-0.06811996403015819,-0.02686657352904187,mean_m_null,0.14443379968069583,0.14443379968069583
source:intervention_grid_qwen_detail.csv,benign_damage,24,0.875,0.21957671957671976,0.7891960706718012,0.5696193510950814,-0.09312159346230864,-0.0891341566344761,0.003987436827832536,thermo_collapse,0.5513351209209499,-0.5513351209209499
source:intervention_grid_qwen_fixed_detail.csv,benign_damage,24,1.0,,,,,,,,,
source:intervention_grid_qwen_norepeat_detail.csv,benign_damage,24,0.375,0.16172839506172842,0.677915397384686,0.5161870023229576,-0.18825206428849484,0.03331302892650101,0.22156509321499585,mean_m_null,0.3756911276985432,0.3756911276985432
pooled,jailbreak_unsafe,72,0.027777777777777776,0.02459996777267337,0.0545573568984552,0.02995738912578183,-0.06146968931649388,-0.10975648625969803,-0.04828679694320415,mean_m_null,0.2499618084259599,0.2499618084259599
source:intervention_grid_qwen_detail.csv,jailbreak_unsafe,24,0.041666666666666664,0.0894009351233499,0.29079434865381837,0.20139341353046847,-0.19851162154917512,-0.21013928385309977,-0.011627662303924646,mean_spectral_gap,0.5609066354387354,0.5609066354387354
source:intervention_grid_qwen_fixed_detail.csv,jailbreak_unsafe,24,0.0,,,,,,,,,
source:intervention_grid_qwen_norepeat_detail.csv,jailbreak_unsafe,24,0.041666666666666664,0.08568634279275145,0.15207099580599814,0.0663846530132467,-0.19552535883315647,-0.26948118020678713,-0.07395582137363066,thermo_collapse,0.3535179617795973,0.3535179617795973
pooled,jailbreak_safe_refusal,72,0.125,0.08509077719266878,0.4202125171204113,0.3351217399277425,0.0016618675121826687,0.27664414689476213,0.27498227938257946,mean_spectral_gap,0.38673031747507364,-0.38673031747507364
source:intervention_grid_qwen_detail.csv,jailbreak_safe_refusal,24,0.0,,,,,,,,,
source:intervention_grid_qwen_fixed_detail.csv,jailbreak_safe_refusal,24,0.25,0.3906660229127945,0.5117704703286464,0.12110444741585191,0.12125814643622113,0.03471067278760154,-0.08654747364861959,mean_entropy,0.2102855101780807,-0.2102855101780807
source:intervention_grid_qwen_norepeat_detail.csv,jailbreak_safe_refusal,24,0.125,0.026171059789541817,0.6767691932572755,0.6505981334677337,-0.3521184787222609,-0.0971547514128761,0.25496372730938477,mean_spectral_gap,0.37233147279390993,-0.37233147279390993
pooled,collapse_failure,144,0.6458333333333334,0.03704784055304866,0.15152748199145738,0.11447964143840872,-0.014606254937605145,0.05489296278753597,0.06949921772514112,mean_entropy,0.06948213769125411,0.06948213769125411
source:intervention_grid_qwen_detail.csv,collapse_failure,48,0.7291666666666666,0.07103329043704898,0.44588643963976404,0.37485314920271506,-0.09225757370006016,-0.024454353773061266,0.06780321992699889,mean_entropy,0.22401526913808326,0.22401526913808326
source:intervention_grid_qwen_fixed_detail.csv,collapse_failure,48,0.7916666666666666,0.019358524974925406,0.3702264112248088,0.3508678862498834,-0.13842988952506152,0.14839662498868067,0.2868265145137422,mean_entropy,0.27325927198585526,0.27325927198585526
source:intervention_grid_qwen_norepeat_detail.csv,collapse_failure,48,0.4166666666666667,0.09081488956366524,0.2980149876844942,0.20720009812082896,-0.08597093695918989,0.015458253653638065,0.10142919061282796,mean_spectral_gap,0.35829441603598067,-0.35829441603598067
pooled,utility_loss,144,0.47303491102903206,0.07523950553448511,0.21432528931422523,0.13908578377974012,0.027766006015723543,0.13706686009388902,0.10930085407816548,thermo_collapse,0.1693241103279011,0.1693241103279011
source:intervention_grid_qwen_detail.csv,utility_loss,48,0.5205301695285732,0.2218969520876536,0.6506732705633621,0.4287763184757085,0.0875027474516612,0.09219528813659461,0.004692540684933411,thermo_collapse,0.11553914648713215,0.11553914648713215
source:intervention_grid_qwen_fixed_detail.csv,utility_loss,48,0.6668874502417458,0.07649048745477427,0.3521160838781595,0.27562559642338524,-0.08387329203507576,0.11371877383975892,0.1975920658748347,mean_psi,0.2427764590931007,0.2427764590931007
source:intervention_grid_qwen_norepeat_detail.csv,utility_loss,48,0.23168711331677702,0.12762617478976523,0.6233819096147124,0.49575573482494717,-0.04818215546621474,0.4404385623268753,0.48862071779309,mean_spectral_gap,0.317178466716803,-0.317178466716803
pooled,coherence,144,0.49621436275455544,0.07577304230685067,0.20789806459654814,0.13212502228969747,0.028780956993788687,0.13096107724567208,0.10218012025188339,thermo_collapse,0.1851682891401398,-0.1851682891401398
source:intervention_grid_qwen_detail.csv,coherence,48,0.43739466707273394,0.23935475785130977,0.6378338793379168,0.398479121486607,0.10907833274836132,0.10250469887418501,-0.00657363387417631,thermo_collapse,0.09610163970029319,-0.09610163970029319
source:intervention_grid_qwen_fixed_detail.csv,coherence,48,0.2910373863595613,0.07064459979302085,0.34958269928417574,0.2789380994911549,-0.09043406834590728,0.10932251377882718,0.19975658212473446,mean_psi,0.2730284697675654,-0.2730284697675654
source:intervention_grid_qwen_norepeat_detail.csv,coherence,48,0.7602110348313711,0.12396671972744067,0.6089251630249253,0.4849584432974846,-0.052858390902028596,0.4143898693226681,0.4672482602246967,thermo_collapse,0.2672748524533649,-0.2672748524533649
