scope,target,n,mean_target,simple_r2,simple_plus_thermo_r2,delta_r2,simple_cv_r2,simple_plus_thermo_cv_r2,delta_cv_r2,best_feature,best_abs_spearman,best_spearman
pooled,utility_loss,240,0.19802851020835469,0.7614562279788994,0.7810428099885443,0.019586582009644804,0.7476295690337789,0.758083626957581,0.010454057923802162,basin_margin,0.14222159367500273,-0.14222159367500273
pooled,coherence,240,0.7365004152902503,0.744572857955883,0.7614111028015271,0.016838244845644113,0.7299447006618918,0.7365873838777239,0.006642683215832168,basin_margin,0.15768621807378508,0.15768621807378508
pooled,repetition_collapse,240,0.31140354905784307,0.6858997371368085,0.7047170771667984,0.018817340029989915,0.6676511882204996,0.6745107380732108,0.0068595498527112,basin_margin,0.14392150502169343,-0.14392150502169343
pooled,template_collapse,240,0.05347222222222222,0.1546657332611474,0.16283038396752902,0.008164650706381615,0.08860503489740845,0.06562627021921175,-0.022978764678196706,steering_alignment,0.17549494794412623,-0.17549494794412623
pooled,semantic_drift,240,0.5565548422417135,0.726820125828433,0.7453524440285368,0.018532318200103814,0.714576963228065,0.720564465328763,0.005987502100697983,native_entropy,0.10363282164213075,0.10363282164213075
pooled,degradation_score,240,0.3531542327997572,0.7128322801750192,0.7202563768401371,0.007424096665117896,0.6966631629309337,0.693263306816432,-0.003399856114501665,basin_margin,0.08316499269080523,-0.08316499269080523
pooled,collapse_failure,240,0.2625,0.643643498614743,0.6587096411831249,0.015066142568381902,0.6234347452844426,0.6222315960797673,-0.0012031492046753467,steering_alignment,0.18382980087125791,-0.18382980087125791
within_setting_mean,utility_loss,240,0.19802851020835469,0.6463437883925929,0.9298786688655275,0.2835348804729347,0.28165675448944283,-0.07328010859047453,-0.3549368630799174,native_entropy,0.410906828833202,-0.022959589084824417
within_setting_mean,coherence,240,0.7365004152902503,0.6131793636127328,0.9280837698192189,0.314904406206486,0.21040500533502274,-0.0963333422102165,-0.30673834754523926,basin_entropy,0.3974747474747475,0.17474747474747473
within_setting_mean,repetition_collapse,240,0.31140354905784307,0.5981102018058998,0.9013169112998508,0.3032067094939511,0.19810424460638107,-0.10258908241130767,-0.30069332701768875,basin_entropy,0.40757575757575754,0.008080808080808076
within_setting_mean,template_collapse,240,0.05347222222222222,0.5542819860170474,0.9284904038076115,0.3742084177905641,-0.05732940257477854,-0.3468103660512011,-0.28948096347642255,basin_entropy,0.4658904171792005,-0.16068712860081605
within_setting_mean,semantic_drift,240,0.5565548422417135,0.785854801907571,0.9539376749390565,0.16808287303148564,0.6376480543338269,0.5295366609877349,-0.10811139334609199,steering_alignment,0.4229843989479592,-0.07494620303187237
within_setting_mean,degradation_score,240,0.3531542327997572,0.7196364582893601,0.9159617381102132,0.1963252798208532,0.4179414501290926,0.159764240371583,-0.2581772097575097,basin_entropy,0.4101010101010101,-0.14646464646464646
within_setting_mean,collapse_failure,240,0.2625,0.693047557812174,0.9477540691157722,0.2547065113035984,0.33971624878711837,0.10690531760966704,-0.23281093117745133,basin_entropy,0.39253975916548145,-0.171870046809618
