observable,layer,base_mean,base_lo,base_hi,instruct_mean,instruct_lo,instruct_hi,significant
specific_heat,0,0.54527,0.52022,0.57208,0.53807,0.51126,0.56516,False
specific_heat,1,0.55499,0.53486,0.57567,0.55969,0.53877,0.58118,False
specific_heat,2,0.67381,0.64682,0.69955,0.67532,0.64917,0.70109,False
specific_heat,3,0.80218,0.76747,0.84078,0.80307,0.76595,0.84037,False
specific_heat,4,0.80433,0.76992,0.84336,0.81519,0.78151,0.8542,False
specific_heat,5,0.86826,0.826,0.91285,0.87316,0.82898,0.92226,False
specific_heat,6,0.81608,0.77461,0.85805,0.81959,0.77816,0.86235,False
specific_heat,7,0.88656,0.84422,0.93565,0.88316,0.83945,0.9315,False
specific_heat,8,0.74766,0.71727,0.78123,0.74667,0.71626,0.78174,False
specific_heat,9,0.61553,0.57721,0.6579,0.6179,0.57781,0.66202,False
specific_heat,10,0.83144,0.79153,0.87878,0.8386,0.79693,0.88761,False
specific_heat,11,0.53277,0.50083,0.57193,0.5473,0.51399,0.58625,False
specific_heat,12,0.7788,0.74199,0.81528,0.77958,0.74414,0.82028,False
specific_heat,13,0.85047,0.80627,0.90134,0.86159,0.81601,0.91323,False
specific_heat,14,0.8249,0.78052,0.877,0.85644,0.8108,0.91078,False
specific_heat,15,0.89542,0.85129,0.94687,0.89885,0.85829,0.94717,False
specific_heat,16,0.61378,0.55843,0.68187,0.62601,0.5705,0.68456,False
specific_heat,17,0.90599,0.85171,0.96546,0.93556,0.88563,0.98862,False
specific_heat,18,0.93055,0.8776,0.98962,0.94096,0.89225,0.99435,False
specific_heat,19,0.8044,0.76498,0.84383,0.80664,0.7712,0.8496,False
specific_heat,20,0.92393,0.85956,0.99519,0.9307,0.86914,1.00126,False
specific_heat,21,1.02634,0.94869,1.11398,1.04199,0.96947,1.12602,False
specific_heat,22,0.74113,0.68042,0.80352,0.73724,0.67658,0.79465,False
specific_heat,23,0.71629,0.66594,0.76767,0.72218,0.67785,0.76261,False
entropy,0,1.14349,1.10312,1.18221,1.14701,1.10701,1.18673,False
entropy,1,1.34489,1.28825,1.40392,1.34095,1.28325,1.40229,False
entropy,2,1.18498,1.13537,1.24145,1.19215,1.14246,1.24961,False
entropy,3,0.75116,0.71859,0.78703,0.75126,0.71803,0.78856,False
entropy,4,1.00447,0.95796,1.05158,0.99872,0.95149,1.04928,False
entropy,5,0.88072,0.82932,0.93731,0.87321,0.81905,0.93337,False
entropy,6,1.04166,0.98266,1.10493,1.03086,0.97343,1.09413,False
entropy,7,0.74397,0.70778,0.78632,0.75129,0.7144,0.79256,False
entropy,8,1.03297,0.98926,1.07772,1.02982,0.98957,1.0731,False
entropy,9,0.54993,0.50969,0.58438,0.53232,0.49664,0.57111,False
entropy,10,1.05649,1.00244,1.11123,1.04593,0.99017,1.10221,False
entropy,11,0.43961,0.39958,0.48204,0.44584,0.41033,0.48503,False
entropy,12,1.15191,1.09337,1.21496,1.13447,1.07854,1.19448,False
entropy,13,0.72268,0.67858,0.77087,0.72499,0.67994,0.77234,False
entropy,14,1.04275,0.98924,1.09705,1.02513,0.96985,1.08325,False
entropy,15,1.00795,0.94359,1.07596,1.0047,0.93733,1.07605,False
entropy,16,0.30869,0.27313,0.35124,0.33304,0.29623,0.37511,False
entropy,17,0.6914,0.63888,0.75037,0.69303,0.63803,0.74993,False
entropy,18,0.86317,0.81397,0.9109,0.87183,0.82532,0.91899,False
entropy,19,1.01517,0.96821,1.06761,1.03144,0.98743,1.0774,False
entropy,20,0.69886,0.64075,0.7643,0.66825,0.61365,0.72908,False
entropy,21,0.52451,0.47295,0.5874,0.54431,0.49299,0.60298,False
entropy,22,1.03951,0.9209,1.14865,1.0487,0.96515,1.14684,False
entropy,23,0.95911,0.86873,1.06156,0.99461,0.91685,1.08673,False
